"","Kinetics_key","Study key","Genus","Sub-genus","Virus","Strain","Temperature range (°C)","Temperature","Relative humidity range (RH, in %)","Relative humidity","pH","Studied matrix - fully names","Standardised matrices","Medium","Inoculum","Quantification method","Replicate","Re-transcribed tables or digitalised figures","Table or Figure of the study","References","DOI","log10D_AEM","nb_points","Dvalues","Dvalues_stderr","Dvalues_CV","log10D","s1","s2","s3","S"
"1","K001","Leclercq2014","Betacoronavirus","Sarbecovirus","MERS","FRA2 ","56",56,"100","100","NA","Cell culture supernatant ","Liquid culture medium","Liquid medium","500 µL (105,59 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Leclerq2014_1","Table 1","Leclercq, I., Batejat, C., Burguiere, A. M. & Manuguerra, J. C. Heat inactivation of the Middle East respiratory syndrome coronavirus. Influenza Other Respir Viruses8, 585-586, doi:10.1111/irv.12261 (2014)","10.1111/irv.12261","-0.99756288367139201",9,0.438728941431067,0.228317467638241,0.520406670445546,-0.357803715744971,4,3,1,13
"2","K002","Leclercq2014","Betacoronavirus","Sarbecovirus","MERS","FRA2 ","65",65,"100","100","NA","Cell culture supernatant ","Liquid culture medium","Liquid medium","500 µL (105,59 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Leclerq2014_1","Table 1","Leclercq, I., Batejat, C., Burguiere, A. M. & Manuguerra, J. C. Heat inactivation of the Middle East respiratory syndrome coronavirus. Influenza Other Respir Viruses8, 585-586, doi:10.1111/irv.12261 (2014)","10.1111/irv.12261","-2.41027096425218",4,0.00388802488335925,0.00282553464941119,0.726727511828558,-2.41027096425218,2,3,1,7
"3","K003","Darnell2004","Betacoronavirus","Sarbecovirus","SARS-CoV-1","Urbani","56",56,"100","100","NA","Dulbecco’s MEM ","Liquid culture medium","Liquid medium","20 µL (106,37 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Fig_Darnell2004_2A.JPG","Figure 2 A","Darnell, M. E., Subbarao, K., Feinstone, S. M. & Taylor, D. R. Inactivation of the coronavirus that induces severe acute respiratory syndrome, SARS-CoV. Journal of virological methods121, 85-91, doi:10.1016/j.jviromet.2004.06.006 (2004)","10.1016/j.jviromet.2004.06.006","-1.3581318506245601",7,0.313713394854585,0.165722274268027,0.528260115717545,-0.503466937511253,3,3,1,10
"4","K004","Darnell2004","Betacoronavirus","Sarbecovirus","SARS-CoV-1","Urbani","65",65,"100","100","NA","Dulbecco’s MEM ","Liquid culture medium","Liquid medium","20 µL (106,37 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Fig_Darnell2004_2B.JPG","Figure 2 B","Darnell, M. E., Subbarao, K., Feinstone, S. M. & Taylor, D. R. Inactivation of the coronavirus that induces severe acute respiratory syndrome, SARS-CoV. Journal of virological methods121, 85-91, doi:10.1016/j.jviromet.2004.06.006 (2004)","10.1016/j.jviromet.2004.06.006","-1.9648487690523599",12,0.108461645012265,0.0510625972683159,0.470789441396926,-0.964723813008331,4,3,1,13
"5","K005","Rabenau2005","Betacoronavirus","Sarbecovirus","SARS-CoV-1","FFM-1 ","56",56,"100","100","NA","Cell culture supernatant with or without 20% FBS  ","Liquid culture medium","Liquid medium","107,18 TCID50 per ml","Cellular infectivity by TCID50 in Vero cells (ATCC no. CCL-81)","Multiple","Table_Rabenau2005_1","Table 1","Rabenau, H. F. et al. Stability and inactivation of SARS coronavirus. Med Microbiol Immunol194, 1-6, doi:10.1007/s00430-004-0219-0 (2005)","10.1007/s00430-004-0219-0","-1.0318122713303699",2,0.0929368029739777,NA,NA,-1.03181227133037,1,3,1,4
"6","K006","Rabenau2005","Betacoronavirus","Sarbecovirus","SARS-CoV-1","FFM-1 ","56",56,"100","100","NA","Cell culture supernatant with or without 20% FBS  ","Liquid culture medium","Liquid medium","107,18 TCID50 per ml","Cellular infectivity by TCID50 in Vero cells (ATCC no. CCL-81)","Multiple","Table_Rabenau2005_1","Table 1","Rabenau, H. F. et al. Stability and inactivation of SARS coronavirus. Med Microbiol Immunol194, 1-6, doi:10.1007/s00430-004-0219-0 (2005)","10.1007/s00430-004-0219-0","-0.72098569999999995",2,0.190114068441065,NA,NA,-0.720985744153739,1,3,1,4
"7","K007","Rabenau2005","Betacoronavirus","Sarbecovirus","SARS-CoV-1","FFM-1 ","23",23,"100","100","NA","Cell culture supernatant without 10% FCS  ","Liquid culture medium","Liquid medium","500 µL (106,55 TCID50 per ml)","Cellular infectivity by TCID50 in Vero cells (ATCC no. CCL-81)","Multiple","Fig_Rabenau2005_2c.png","Figure 2c","Rabenau, H. F. et al. Stability and inactivation of SARS coronavirus. Med Microbiol Immunol194, 1-6, doi:10.1007/s00430-004-0219-0 (2005)","10.1007/s00430-004-0219-0","2.1398790000000001",6,153.016531009809,41.8755158977977,0.273666613806016,2.1847383519844,3,3,1,10
"8","K008","Rabenau2005","Betacoronavirus","Sarbecovirus","SARS-CoV-1","FFM-1 ","23",23,"100","100","NA","Cell culture supernatant with 10% FCS  ","Liquid culture medium","Liquid medium","500 µL (106,55 TCID50 per ml)","Cellular infectivity by TCID50 in Vero cells (ATCC no. CCL-81)","Multiple","Fig_Rabenau2005_2d.png","Figure 2d","Rabenau, H. F. et al. Stability and inactivation of SARS coronavirus. Med Microbiol Immunol194, 1-6, doi:10.1007/s00430-004-0219-0 (2005)","10.1007/s00430-004-0219-0","2.2160340000000001",6,187.748621383699,51.1632463440437,0.272509305085559,2.27357675671402,3,3,1,10
"9","K009","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","31",31,"100","100","7","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1a","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","2.0757303369832401",6,110.638659764829,8.1180549330475,0.0733744872750906,2.04390690625287,3,1,4,7
"10","K010","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","35",35,"100","100","7","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1a","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","1.8063217235005999",5,62.5512390511536,4.21924375377183,0.0674526007441898,1.79623591687115,2,1,4,6
